"f_target","b1","design","rho_target","a1","a2","b2","c1","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","f_achieved","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.3,0.3,"D2_highRho_unequalA2",0.6,0.45,0.863028554974588,0.3,0.933333333333333,0.208567838181554,0,0,0,1,0.42,0.18,0.6,0.7,0.135,0.3,0.435677862558524,0.0320889814299967,1,0.247696446758383,0.039228983836632,0.999,0.312822105963815,0.0396355118577948,0.998,0.833155843392758,0.065060556498152,1,-0.459585170758661,0.0643078532811003,0.998,0.47435519175232,0.120261823100122,0.962,0.217416300782698,0.0624297953953637,0.924,-0.195487802822126,0.0980631661649011,0.528,0.0314605622769572,0.0381162868882272,0.0392373536998903,0.0675280877026963,0.0656492655429323,0.123937403277593,0.0636455986479199,0.100749402229136,0.135677862558524,-0.0523035532416171,0.533155843392759,0.17435519175232,"sim","HC1","t",3,1000,1000,314
0.35,0.3,"D2_highRho_unequalA2",0.6,0.45,0.863028554974588,0.3,0.866666666666667,0.243329144545146,0,0,0,1,0.39,0.21,0.6,0.65,0.135,0.35,0.436425621727647,0.0324710579703804,1,0.267232102392028,0.0406723875333048,0.999,0.281680779017556,0.0419507546869799,0.997,0.833030407670644,0.0657781786084174,1,-0.458680628369143,0.0650952271689083,0.998,0.596520223093875,0.108345350644423,0.997,0.154462347067785,0.056344449497247,0.778,-0.292230663511527,0.0885743659892605,0.891,0.0337884158796642,0.0427174134586785,0.0426738901997259,0.0667383236544308,0.0656872337850458,0.112452216861275,0.0581984880288678,0.0913964950556947,0.136425621727647,-0.0327678976079719,0.533030407670644,0.296520223093875,"sim","HC1","t",3,1000,1000,314
0.4,0.3,"D2_highRho_unequalA2",0.6,0.45,0.863028554974588,0.3,0.8,0.278090450908738,0,0,0,1,0.36,0.24,0.6,0.6,0.135,0.4,0.436540394919666,0.0320797217081716,1,0.284834837902031,0.0407611286464743,0.997,0.252527458350944,0.0430968680029517,0.986,0.834236969072961,0.0644010459843061,1,-0.460055080816904,0.0638379025318796,0.999,0.665107597649394,0.0964902547265713,0.997,0.119861716181548,0.050774259230993,0.656,-0.34745790999011,0.079664521246313,0.981,0.0328364516697268,0.0429232389286518,0.0478727431432519,0.0665925650507024,0.0629909526183066,0.103501658824982,0.0549167940965301,0.0815659765978661,0.136540394919666,-0.0151651620979688,0.534236969072961,0.365107597649394,"sim","HC1","t",3,1000,1000,314
0.4,0.3,"D2_highRho_unequalA2",0.7,0.45,0.863028554974588,0.3,0.933333333333333,0.324438859393528,0,0,0,1,0.42,0.28,0.7,0.6,0.135,0.4,0.434899545638958,0.0320844131321984,1,0.180417515808998,0.043521333556476,0.973,0.36298761595201,0.0440042040206675,1,0.830189393134364,0.0654599865784136,1,-0.45759642727432,0.0646205455434251,0.998,0.361425256791457,0.130259176772666,0.791,0.283238674713769,0.0697331472863105,0.96,-0.144776548207512,0.0985818675528571,0.337,0.0325655663712982,0.042793149328162,0.043804952731297,0.0670596677094485,0.0654046929911757,0.1384204575176,0.0735481488575467,0.105587195225453,0.134899545638958,-0.119582484191002,0.530189393134364,0.0614252567914572,"sim","HC1","t",3,1000,1000,314
0.45,0.3,"D2_highRho_unequalA2",0.6,0.35,0.90674969975976,0.3,0.942857142857143,0.297766847975285,0,0,0,1,0.33,0.27,0.6,0.55,0.105,0.45,0.405525699499413,0.0322142592748523,1,0.199977262626984,0.0386702182352589,0.995,0.342470832061774,0.0388202343909467,0.998,0.89563679724226,0.0806889434553792,0.999,-0.53935850453026,0.0795184678228601,0.991,0.348016935470513,0.12848262453775,0.776,0.292399641956647,0.0570685671382646,0.984,-0.129849397648939,0.107994813042998,0.249,0.0326068234368625,0.0398920378135866,0.0407408729490088,0.0912310729637834,0.089030576411991,0.137741587086063,0.0604707746292984,0.11486547787565,0.105525699499413,-0.100022737373016,0.59563679724226,0.0480169354705126,"sim","HC1","t",3,1000,1000,314
0.45,0.3,"D2_highRho_unequalA2",0.6,0.45,0.863028554974588,0.3,0.733333333333333,0.312851757272331,0,0,0,1,0.33,0.27,0.6,0.55,0.135,0.45,0.4366908684,0.0318143750917345,1,0.303511894195729,0.0406281142724239,1,0.222161975513538,0.0436140657617937,0.988,0.832139602493445,0.0652507974514208,1,-0.457973807141327,0.0642887865543143,0.999,0.708322382041006,0.0903557426513575,1,0.0962047757327029,0.0475112419685376,0.552,-0.381106585618698,0.074920601818512,0.994,0.0309309155511744,0.0401722024286052,0.0454639332045148,0.0690791688737922,0.0665747319031548,0.0936957543004749,0.0495831106807632,0.0764363903300655,0.1366908684,0.00351189419572873,0.532139602493445,0.408322382041006,"sim","HC1","t",3,1000,1000,314
0.45,0.3,"D2_highRho_unequalA2",0.7,0.45,0.863028554974588,0.3,0.855555555555556,0.364993716817719,0,0,0,1,0.385,0.315,0.7,0.55,0.135,0.45,0.433635866403664,0.0323981229911134,1,0.209136686932475,0.0455937927371314,0.988,0.319958067805383,0.0468282066860914,0.993,0.831261011330805,0.0653163077003718,0.999,-0.46050405669175,0.0646374123040297,0.995,0.553945451462024,0.111706602402433,0.994,0.183155040873798,0.0612626296834124,0.85,-0.288019440703042,0.0852135723744409,0.922,0.0319647627732896,0.0468836523788239,0.0499137861350231,0.0683770068161938,0.068151526011979,0.116641039778968,0.0652138255836132,0.0891209125332817,0.133635866403664,-0.0908633130675246,0.531261011330805,0.253945451462024,"sim","HC1","t",3,1000,1000,314
0.5,0.3,"D2_highRho_unequalA2",0.6,0.35,0.90674969975976,0.3,0.857142857142857,0.330852053305873,0,0,0,1,0.3,0.3,0.6,0.5,0.105,0.5,0.404869331166015,0.0321243604852413,1,0.220589727284387,0.040245789143915,0.993,0.306322043406582,0.041630900017864,0.996,0.901564360683691,0.0802693985625518,1,-0.546634998666545,0.0791997979271447,0.996,0.54988340570889,0.117485994880363,0.983,0.206847864531177,0.053104443107849,0.944,-0.296320980648294,0.0982928761921711,0.854,0.033740163251178,0.0441051983286481,0.0460137842643686,0.0879053996367178,0.0866394307843656,0.129292619897979,0.0580432595025197,0.106568506595093,0.104869331166015,-0.0794102727156132,0.601564360683691,0.24988340570889,"sim","HC1","t",3,1000,1000,314
0.5,0.3,"D2_highRho_unequalA2",0.6,0.45,0.863028554974588,0.3,0.666666666666667,0.347613063635923,0,0,0,1,0.3,0.3,0.6,0.5,0.135,0.5,0.433475610150332,0.0320233912067397,1,0.318763286321883,0.0413252947763296,1,0.191013041724407,0.0440672822304355,0.965,0.8317186189791,0.0647942362888285,1,-0.460198794799481,0.0639582792669395,0.999,0.739787194540594,0.084511782229163,1,0.0784738740419255,0.044992718157709,0.447,-0.40820740560226,0.0707811855950043,0.999,0.0312512369536159,0.0414126743966649,0.0469950294376201,0.0662903559311188,0.0638144337147054,0.0893668996445813,0.0482351424642079,0.0716365814319565,0.133475610150332,0.0187632863218832,0.5317186189791,0.439787194540594,"sim","HC1","t",3,1000,1000,314
0.5,0.3,"D2_highRho_unequalA2",0.7,0.45,0.863028554974588,0.3,0.777777777777778,0.40554857424191,0,0,0,1,0.35,0.35,0.7,0.5,0.135,0.5,0.436444126911106,0.0322007060662525,1,0.242184423795985,0.0462013104306783,0.994,0.277677631780157,0.0483920642763119,0.99,0.831212311982308,0.066069323867173,1,-0.456576255373008,0.0651265031542056,0.991,0.642626803211081,0.100161651014726,0.997,0.138604821361045,0.055115960089049,0.716,-0.350213038492603,0.077179163002655,0.985,0.032035154591991,0.0469848448385662,0.0519353627890421,0.0759874391867847,0.0723748407914414,0.110891240811127,0.0605111394295711,0.0837387667228848,0.136444126911106,-0.057815576204015,0.531212311982308,0.342626803211081,"sim","HC1","t",3,1000,1000,314
